Container,Year Lot,Week Lot,Lot Number,Container Size,Model,Container Type,Container BL
TXGU8094621,2025,WK42,11658449-PAG,40,EH32,SKD/KD,ZYSC25091509/ZYSC25091520
UETU5384805,2025,WK42,11658449-PBC,40,EH32,SKD/KD,ZYSC25091509/ZYSC25091520
CBHU9071692,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580W/9580WF
CBHU9151397,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580W/9580WF
CCLU7318356,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580W/9580WF
CCLU7767151,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580W/9580WF
CSNU6738096,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580W/9580WF
FSCU8599620,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580W/9580WF
OOCU8189289,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580W/9580WF
CBHU9545641,2025,WK42,11658449-JSH,40,EH32,SKD/KD,COAU7262549580WA/9580WG
CSNU7360605,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580WA/9580WG
DFSU7396690,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580WA/9580WG
OOLU9617562,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580WA/9580WG
SEKU4589206,2025,WK42,11658449-ZCQ,40,EH32,SKD/KD,COAU7262549580WA/9580WG
TIIU5764454,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WA/9580WG
UETU5396977,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580WA/9580WG
UETU7456015,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580WA/9580WG
CBHU9015127,2025,WK42,11658449-PBC,40,EH32,SKD/KD,COAU7262549580WB/9580WH
CCLU7441057,2025,WK42,11658449-JSH,40,EH32,SKD/KD,COAU7262549580WB/9580WH
CCLU7862040,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WB/9580WH
CSNU6020771,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580WB/9580WH
CSNU8955085,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580WB/9580WH
FCIU9976400,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WB/9580WH
OOCU8197617,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580WB/9580WH
OOCU8847733,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WB/9580WH
SEKU4641496,2025,WK42,-,40,MIXED,KD,COAU7262549580WH
BMOU5126098,2025,WK42,11658449-PAG,40,EH32,SKD/KD,COAU7262549580WC/9580WI
CBHU9075321,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
CCLU7970195,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
CSNU8782729,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
MAGU5228683,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
MAGU5362497,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
OOLU9429673,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
TEMU6293920,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
TEMU6343785,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
TGBU4781680,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
TRHU5799250,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
UETU5497102,2025,WK42,11658449-WSB,40,EH32,SKD/KD,COAU7262549580WC/9580WI
BMOU5050388,2025,WK43,-,40,MIXED,MOQ,ZYSC25092307/ZYSC25092311
CBHU7045478,2025,WK43,-,40,MIXED,MOQ,ZYSC25092307/ZYSC25092311
CCLU7491232,2025,WK43,-,40,MIXED,MOQ,ZYSC25092307/ZYSC25092311
CSLU6291858,2025,WK43,-,40,MIXED,KD/MOQ,ZYSC25092307/ZYSC25092311
CSNU6801389,2025,WK43,-,40,MIXED,MOQ,ZYSC25092307/ZYSC25092311
CSNU7373182,2025,WK43,-,40,MIXED,MOQ,ZYSC25092307/ZYSC25092311
CSNU7995376,2025,WK43,-,40,MIXED,MOQ,ZYSC25092307/ZYSC25092311
FSCU8593560,2025,WK43,-,40,MIXED,MOQ,ZYSC25092307/ZYSC25092311
TGBU8743693,2025,WK43,-,40,MIXED,MOQ,ZYSC25092307/ZYSC25092311
TXGU4384176,2025,WK43,-,40,MIXED,KD,ZYSC25092307/ZYSC25092311
CSNU6584344,2025,WK43,-,40,MIXED,KD,ZYSC25092307/ZYSC25092311
FFAU2962393,2025,WK43,-,40,MIXED,KD,ZYSC25092307/ZYSC25092311
RFCU5040995,2025,WK43,-,40,MIXED,KD,ZYSC25092307/ZYSC25092311
TGBU8858840,2025,WK43,-,40,MIXED,KD,ZYSC25092307/ZYSC25092311
DFSU6795192,2025,WK43,-,40,MIXED,MOQ,JYAJ25100402
FFAU2452168,2025,WK43,-,40,MIXED,MOQ,JYAJ25100402
TGBU4893376,2025,WK43,-,40,MIXED,MOQ,JYAJ25100402
FFAU3489304,2025,WK43,-,40,MIXED,MOQ,JYAJ25100402
CCLU7681715,2025,WK43,-,40,MIXED,MOQ,JYAJ25100404
OOCU9098440,2025,WK43,-,40,MIXED,MOQ,JYAJ25100404
OOLU9489754,2025,WK43,-,40,MIXED,MOQ,JYAJ25100404
TIIU5032371,2025,WK43,-,40,MIXED,MOQ,JYAJ25100404
OOLU9861882,2025,WK43,-,40,MIXED,MOQ,JYAJ25100404
TEMU6359966,2025,WK43,-,40,MIXED,MOQ,JYAJ25100404
TEMU7702391,2025,WK43,-,40,MIXED,MOQ,JYAJ25100404
TGBU8731305,2025,WK43,-,40,MIXED,MOQ,JYAJ25100404
CSLU6303028,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
FFAU6137159,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
GCXU5490768,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
TCNU5441344,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
TIIU5683373,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
OOCU6725649,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
OOLU6889680,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
OOCU7775496,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
TGBU4740510,2025,WK43,12109505-DML,40,ZS3E,SKD/KD,ZYAJ25092805/ZYAJ25092812
CAAU9089364,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CAIU7034961,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CBHU9490451,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CSNU6014486,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CSNU6113323,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CSNU8721929,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CSNU8781569,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
TCNU1163245,2025,WK43,-,40,MIXED,DG,CPL0365988
SEGU6210699,2025,WK43,-,40,MIXED,DG,CPL0365988
CMAU7924309,2025,WK43,-,40,MIXED,DG,CPL0365988
APZU3270971,2025,WK43,-,20,MIXED,DG,CPL0365988
